player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_name,tour,player_key
106331,Christopher,Oconnell,R,19940603.0,AUS,183.0,Q28151675,Christopher Oconnell,ATP,ATP_106331
106329,Thiago,Monteiro,L,19940531.0,BRA,183.0,Q16301147,Thiago Monteiro,ATP,ATP_106329
106353,Pedja,Krstin,R,19940903.0,SRB,183.0,Q16587689,Pedja Krstin,ATP,ATP_106353
106298,Lucas,Pouille,R,19940223.0,FRA,185.0,Q13403768,Lucas Pouille,ATP,ATP_106298
106296,Gregoire,Barrere,R,19940216.0,FRA,183.0,Q24228674,Gregoire Barrere,ATP,ATP_106296
106293,Kimmer,Coppejans,R,19940207.0,BEL,178.0,Q1856953,Kimmer Coppejans,ATP,ATP_106293
106292,Hernan,Casanova,R,19940206.0,ARG,178.0,Q105622540,Hernan Casanova,ATP,ATP_106292
106291,Luke,Saville,R,19940102.0,AUS,188.0,Q1475869,Luke Saville,ATP,ATP_106291
106288,Mathias,Bourgue,R,19940118.0,FRA,188.0,Q17071396,Mathias Bourgue,ATP,ATP_106288
106380,Gonzalo,Villanueva,R,19950113.0,ARG,175.0,Q106307111,Gonzalo Villanueva,ATP,ATP_106380
106378,Kyle,Edmund,R,19950108.0,GBR,188.0,Q6451141,Kyle Edmund,ATP,ATP_106378
106368,Ramkumar,Ramanathan,R,19941108.0,IND,188.0,Q15759429,Ramkumar Ramanathan,ATP,ATP_106368
106398,Pedro,Cachin,R,19950412.0,ARG,185.0,Q19560184,Pedro Cachin,ATP,ATP_106398
106393,Frederico,Ferreira Silva,L,19950318.0,POR,178.0,Q5499229,Frederico Ferreira Silva,ATP,ATP_106393
106283,Mitchell,Krueger,R,19940112.0,USA,188.0,Q16941929,Mitchell Krueger,ATP,ATP_106283
106281,Liam,Broady,L,19940104.0,GBR,183.0,Q2965183,Liam Broady,ATP,ATP_106281
106302,Andrew,Harris,R,19940307.0,AUS,183.0,Q16209408,Andrew Harris,ATP,ATP_106302
106408,Mario,Vilella Martinez,R,19950703.0,ESP,178.0,Q23668766,Mario Vilella Martinez,ATP,ATP_106408
106401,Nick,Kyrgios,R,19950427.0,AUS,193.0,Q3720084,Nick Kyrgios,ATP,ATP_106401
106426,Cristian,Garin,R,19960530.0,CHI,185.0,Q4252035,Cristian Garin,ATP,ATP_106426
106425,Blake,Mott,R,19960421.0,AUS,180.0,Q22677588,Blake Mott,ATP,ATP_106425
106423,Thanasi,Kokkinakis,R,19960410.0,AUS,193.0,Q3784554,Thanasi Kokkinakis,ATP,ATP_106423
106421,Daniil,Medvedev,R,19960211.0,RUS,198.0,Q21622022,Daniil Medvedev,ATP,ATP_106421
106415,Yoshihito,Nishioka,L,19950927.0,JPN,170.0,Q16735453,Yoshihito Nishioka,ATP,ATP_106415
106249,Joao,Domingues,R,19931005.0,POR,178.0,Q19560368,Joao Domingues,ATP,ATP_106249
106432,Borna,Coric,R,19961114.0,CRO,188.0,Q14905846,Borna Coric,ATP,ATP_106432
106234,Aslan,Karatsev,R,19930904.0,RUS,185.0,Q18546813,Aslan Karatsev,ATP,ATP_106234
106233,Dominic,Thiem,R,19930903.0,AUT,185.0,Q88762,Dominic Thiem,ATP,ATP_106233
106228,Juan Ignacio,Londero,R,19930815.0,ARG,180.0,Q15665498,Juan Ignacio Londero,ATP,ATP_106228
106227,Ji Sung,Nam,R,19930815.0,KOR,183.0,Q16581593,Ji Sung Nam,ATP,ATP_106227
106220,Dimitar,Kuzmanov,R,19930728.0,BUL,183.0,Q12061061,Dimitar Kuzmanov,ATP,ATP_106220
106218,Marcos,Giron,R,19930724.0,USA,180.0,Q17478053,Marcos Giron,ATP,ATP_106218
106216,Bjorn,Fratangelo,R,19930719.0,USA,183.0,Q3657277,Bjorn Fratangelo,ATP,ATP_106216
106214,Oscar,Otte,R,19930716.0,GER,193.0,Q29559367,Oscar Otte,ATP,ATP_106214
106210,Jiri,Vesely,L,19930710.0,CZE,198.0,Q2481933,Jiri Vesely,ATP,ATP_106210
106198,Hugo,Dellien,R,19930616.0,BOL,180.0,Q5904441,Hugo Dellien,ATP,ATP_106198
106187,Denis,Yevseyev,R,19930522.0,KAZ,188.0,Q56250314,Denis Yevseyev,ATP,ATP_106187
106186,Jason,Kubler,R,19930519.0,AUS,178.0,Q6162896,Jason Kubler,ATP,ATP_106186
106177,Oriol,Roca Batalla,R,19930430.0,ESP,175.0,Q20670785,Oriol Roca Batalla,ATP,ATP_106177
106162,Franco,Agamenone,R,19930415.0,ITA,191.0,Q43301688,Franco Agamenone,ATP,ATP_106162
200005,Ugo,Humbert,L,19980626.0,FRA,188.0,Q54007306,Ugo Humbert,ATP,ATP_200005
200000,Felix,Auger Aliassime,R,20000808.0,CAN,193.0,Q20752045,Felix Auger Aliassime,ATP,ATP_200000
106148,Roberto,Carballes Baena,R,19930323.0,ESP,183.0,Q16146051,Roberto Carballes Baena,ATP,ATP_106148
106174,Gonzalo,Lama,R,19930427.0,CHI,180.0,Q6422706,Gonzalo Lama,ATP,ATP_106174
106137,Tristan,Lamasine,R,19930305.0,FRA,183.0,Q16300796,Tristan Lamasine,ATP,ATP_106137
106121,Taro,Daniel,R,19930127.0,JPN,191.0,Q15714673,Taro Daniel,ATP,ATP_106121
200008,Alexis,Galarneau,R,19990302.0,CAN,180.0,Q108023685,Alexis Galarneau,ATP,ATP_200008
106099,Salvatore,Caruso,R,19921215.0,ITA,185.0,Q16941640,Salvatore Caruso,ATP,ATP_106099
106110,Filip,Horansky,R,19930107.0,SVK,175.0,Q5448480,Filip Horansky,ATP,ATP_106110
106109,Alex,Bolt,L,19930105.0,AUS,183.0,Q3462853,Alex Bolt,ATP,ATP_106109
106075,Jozef,Kovalik,R,19921104.0,SVK,183.0,Q12768184,Jozef Kovalik,ATP,ATP_106075
106072,Alexey,Vatutin,R,19921027.0,RUS,178.0,Q21623230,Alexey Vatutin,ATP,ATP_106072
106071,Bernard,Tomic,R,19921021.0,AUS,196.0,Q288326,Bernard Tomic,ATP,ATP_106071
106065,Marco,Cecchinato,R,19920930.0,ITA,185.0,Q13360044,Marco Cecchinato,ATP,ATP_106065
200031,Lucas,Catarina,R,19960826.0,MON,185.0,Q28648820,Lucas Catarina,ATP,ATP_200031
106058,Jack,Sock,R,19920924.0,USA,191.0,Q54663,Jack Sock,ATP,ATP_106058
106057,Facundo,Mena,R,19920922.0,ARG,183.0,Q21001023,Facundo Mena,ATP,ATP_106057
106078,Egor,Gerasimov,R,19921111.0,BLR,196.0,Q18549907,Egor Gerasimov,ATP,ATP_106078
106044,Nicolas,Kicker,R,19920816.0,ARG,178.0,Q19868533,Nicolas Kicker,ATP,ATP_106044
106043,Diego,Schwartzman,R,19920816.0,ARG,170.0,Q5274812,Diego Schwartzman,ATP,ATP_106043
106034,Yasutaka,Uchiyama,R,19920805.0,JPN,183.0,Q15660946,Yasutaka Uchiyama,ATP,ATP_106034
200059,Yibing,Wu,R,19991014.0,CHN,183.0,Q28137186,Yibing Wu,ATP,ATP_200059
106026,Yuki,Bhambri,R,19920704.0,IND,185.0,Q1391241,Yuki Bhambri,ATP,ATP_106026
106045,Denis,Kudla,R,19920817.0,USA,180.0,Q1187478,Denis Kudla,ATP,ATP_106045
106005,Constant,Lestienne,R,19920523.0,FRA,180.0,Q16300830,Constant Lestienne,ATP,ATP_106005
106000,Damir,Dzumhur,R,19920520.0,BIH,175.0,Q1158544,Damir Dzumhur,ATP,ATP_106000
200075,Yshai,Oliel,L,20000105.0,ISR,188.0,Q18670552,Yshai Oliel,ATP,ATP_200075
105992,Ryan,Harrison,R,19920507.0,USA,185.0,Q53563,Ryan Harrison,ATP,ATP_105992
105985,Darian,King,R,19920426.0,BAR,188.0,Q16941915,Darian King,ATP,ATP_105985
200095,Nicola,Kuhn,R,20000320.0,GER,185.0,Q30221465,Nicola Kuhn,ATP,ATP_200095
105967,Henri,Laaksonen,R,19920331.0,SUI,185.0,Q13185,Henri Laaksonen,ATP,ATP_105967
105952,Renzo,Olivo,R,19920315.0,ARG,178.0,Q2758092,Renzo Olivo,ATP,ATP_105952
105948,Federico,Coria,R,19920309.0,ARG,180.0,Q27306789,Federico Coria,ATP,ATP_105948
200116,Camilo,Ugo Carabelli,R,19990617.0,ARG,185.0,Q106207380,Camilo Ugo Carabelli,ATP,ATP_200116
105943,Federico,Gaio,R,19920305.0,ITA,178.0,Q16735393,Federico Gaio,ATP,ATP_105943
105938,Antoine,Escoffier,R,19920229.0,FRA,185.0,Q106300131,Antoine Escoffier,ATP,ATP_105938
105936,Filip,Krajinovic,R,19920227.0,SRB,185.0,Q178244,Filip Krajinovic,ATP,ATP_105936
105932,Nikoloz,Basilashvili,R,19920223.0,GEO,185.0,Q16297666,Nikoloz Basilashvili,ATP,ATP_105932
105916,Marton,Fucsovics,R,19920208.0,HUN,188.0,Q649333,Marton Fucsovics,ATP,ATP_105916
105911,Andrea,Collarini,L,19920131.0,ARG,183.0,Q4755022,Andrea Collarini,ATP,ATP_105911
105905,Danilo,Petrovic,R,19920124.0,SRB,203.0,Q23907381,Danilo Petrovic,ATP,ATP_105905
105933,Roberto,Quiroz,L,19920223.0,ECU,193.0,Q5405365,Roberto Quiroz,ATP,ATP_105933
200188,Matteo,Martineau,R,19990116.0,FRA,183.0,Q95246542,Matteo Martineau,ATP,ATP_200188
200175,Miomir,Kecmanovic,R,19990831.0,SRB,183.0,Q22005752,Miomir Kecmanovic,ATP,ATP_200175
109054,Daniel,Masur,R,19941106.0,GER,183.0,Q25915757,Daniel Masur,ATP,ATP_109054
105882,Stefano,Travaglia,R,19911228.0,ITA,185.0,Q3972751,Stefano Travaglia,ATP,ATP_105882
105877,Emilio,Gomez,R,19911128.0,ECU,185.0,Q14565694,Emilio Gomez,ATP,ATP_105877
105902,James,Duckworth,R,19920121.0,AUS,183.0,Q1336011,James Duckworth,ATP,ATP_105902
109303,Stefano,Napolitano,R,19950411.0,ITA,196.0,Q16676852,Stefano Napolitano,ATP,ATP_109303
200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP,183.0,Q33084529,Alejandro Davidovich Fokina,ATP,ATP_200221
200218,Mate,Valkusz,R,19980813.0,HUN,183.0,Q22338780,Mate Valkusz,ATP,ATP_200218
105841,Lorenzo,Giustino,R,19910910.0,ITA,180.0,Q14755492,Lorenzo Giustino,ATP,ATP_105841
105870,Yannick,Hanfmann,R,19911113.0,GER,193.0,Q29628209,Yannick Hanfmann,ATP,ATP_105870
109686,Riccardo,Bonadio,R,19930713.0,ITA,180.0,Q31293913,Riccardo Bonadio,ATP,ATP_109686
109739,Maximilian,Marterer,L,19950615.0,GER,188.0,Q17364412,Maximilian Marterer,ATP,ATP_109739
109734,Skander,Mansouri,R,19950723.0,TUN,193.0,Q25016210,Skander Mansouri,ATP,ATP_109734
105819,Guido,Andreozzi,R,19910805.0,ARG,183.0,Q2316401,Guido Andreozzi,ATP,ATP_105819
105815,Tennys,Sandgren,R,19910722.0,USA,188.0,Q7700510,Tennys Sandgren,ATP,ATP_105815
105807,Pablo,Carreno Busta,R,19910712.0,ESP,188.0,Q7121592,Pablo Carreno Busta,ATP,ATP_105807
200247,Alexandar,Lazarov,R,19971106.0,BUL,191.0,Q23008009,Alexandar Lazarov,ATP,ATP_200247
200240,Vit,Kopriva,R,19970615.0,CZE,178.0,Q102423530,Vit Kopriva,ATP,ATP_200240
105777,Grigor,Dimitrov,R,19910516.0,BUL,191.0,Q337681,Grigor Dimitrov,ATP,ATP_105777
105806,Mirza,Basic,R,19910712.0,BIH,188.0,Q6874826,Mirza Basic,ATP,ATP_105806
105732,Pierre Hugues,Herbert,R,19910318.0,FRA,188.0,Q2093033,Pierre Hugues Herbert,ATP,ATP_105732
105731,Steven,Diez,R,19910317.0,CAN,175.0,Q13512839,Steven Diez,ATP,ATP_105731
105757,Sandro,Ehrat,R,19910418.0,SUI,180.0,Q1689243,Sandro Ehrat,ATP,ATP_105757
105723,Andrey,Kuznetsov,R,19910222.0,RUS,183.0,Q501662,Andrey Kuznetsov,ATP,ATP_105723
200282,Alex,De Minaur,R,19990217.0,AUS,183.0,Q22958938,Alex De Minaur,ATP,ATP_200282
200273,Hady,Habib,R,19980821.0,LIB,188.0,Q47749959,Hady Habib,ATP,ATP_200273
200267,Zizou,Bergs,R,19990603.0,BEL,185.0,Q100700157,Zizou Bergs,ATP,ATP_200267
200266,Javier,Barranco Cosano,L,19981117.0,ESP,180.0,Q106153467,Javier Barranco Cosano,ATP,ATP_200266
200265,Ulises,Blanch,R,19980325.0,USA,188.0,Q24450987,Ulises Blanch,ATP,ATP_200265
105683,Milos,Raonic,R,19901227.0,CAN,196.0,Q312343,Milos Raonic,ATP,ATP_105683
105657,Marius,Copil,R,19901017.0,ROU,191.0,Q523725,Marius Copil,ATP,ATP_105657
105655,Hiroki,Moriya,R,19901016.0,JPN,168.0,Q2418165,Hiroki Moriya,ATP,ATP_105655
105649,Cedrik Marcel,Stebe,L,19901009.0,GER,183.0,Q77169,Cedrik Marcel Stebe,ATP,ATP_105649
105676,David,Goffin,R,19901207.0,BEL,180.0,Q19406,David Goffin,ATP,ATP_105676
105643,Federico,Delbonis,L,19901005.0,ARG,193.0,Q367654,Federico Delbonis,ATP,ATP_105643
105641,Blaz,Rola,L,19901005.0,SLO,193.0,Q883242,Blaz Rola,ATP,ATP_105641
105633,Mohamed,Safwat,R,19900919.0,EGY,180.0,Q16608398,Mohamed Safwat,ATP,ATP_105633
105614,Bradley,Klahn,L,19900820.0,USA,183.0,Q772382,Bradley Klahn,ATP,ATP_105614
200307,Tao,Mu,R,20000428.0,CHN,180.0,Q60237911,Tao Mu,ATP,ATP_200307
200303,Pavel,Kotov,R,19981118.0,RUS,191.0,Q85322897,Pavel Kotov,ATP,ATP_200303
200325,Emil,Ruusuvuori,R,19990402.0,FIN,188.0,Q28493468,Emil Ruusuvuori,ATP,ATP_200325
200318,Yu Hsiou,Hsu,R,19990402.0,TPE,178.0,Q28534179,Yu Hsiou Hsu,ATP,ATP_200318
105613,Norbert,Gombos,R,19900813.0,SVK,193.0,Q15836985,Norbert Gombos,ATP,ATP_105613
